   sp       csco    intc
  -0.409   3.213   1.816
   0.300   1.957  -1.005
  -1.210  -2.353  -2.454
   0.169  -2.817  -0.415
   0.558   0.813   1.137
  -0.049   1.606   0.716
  -0.230  -2.419  -0.204
  -0.432   7.469  -0.821
   0.795   2.248   2.645
  -0.217  -1.681  -1.110
   0.127   2.051  -0.714
  -0.441  -1.113   1.623
  -0.454   2.031   2.876
  -0.691  -3.725   3.364
  -1.808  -7.280  -2.101
  -0.033   3.213   0.577
   0.523   2.344  -1.938
   0.413   1.342   2.130
   0.222   0.569   0.382
  -0.326  -2.299  -3.693
  -1.057   0.000  -0.795
   0.971   1.538   0.398
   0.007   0.760   1.968
  -0.049   0.755   0.583
  -0.416  -3.442   0.387
  -1.289  -3.969  -3.138
   0.341   3.579   0.000
   0.558   1.934  -3.858
   0.151  -1.156   0.207
   1.065  -1.562  -0.207
   0.083   5.179  -2.942
   0.755  -0.563   1.482
  -0.194  -0.566  -2.877
  -0.177  -0.569   5.776
   0.548   3.365   2.220
   0.015   2.541   0.795
   0.033   1.069  -0.297
   0.572   1.757   0.668
  -0.349  -2.469  -1.365
   0.067   0.356   2.956
  -0.413   0.000  -0.780
  -0.035  -2.888  -0.196
   0.348   0.730  -0.196
  -0.080  -0.730   0.783
   0.074   0.000   1.356
   0.033   2.174   1.526
   0.184   1.424   0.943
  -0.002   0.705  -0.565
  -0.007   0.000   1.312
   0.934   0.700   1.479
   0.729   2.069  -0.368
   0.143  -0.342  -1.297
  -0.072  -0.343   3.484
  -0.589  -1.733   1.874
  -0.466  -2.120  -2.689
   0.224  -0.179   2.246
   0.009   2.648   1.586
   0.339  -2.648  -0.878
   0.188  -3.088  -0.534
   0.441   0.000   0.796
  -0.401  -3.952  -1.418
   0.407   2.464  -0.897
  -0.004   2.588   1.786
   0.507   3.585   2.188
   1.232   0.351   1.802
   0.519   2.768   0.170
  -0.069   0.681  -0.853
   0.079  -1.022   4.847
  -0.208  -0.343   1.136
   0.264  -3.675  -0.161
   0.039  -2.344  -0.324
   0.187   0.727   1.767
   0.412   0.000   1.579
   0.140  -0.728   0.157
  -0.672  -1.471  -1.339
   0.155  -1.869   0.238
   0.486   2.423   0.788
   0.379   1.281  -1.982
   0.277  -2.206   0.558
  -0.885  -1.687  -0.239
   0.706   2.058   1.819
  -0.358  -2.436  -1.262
  -0.107   2.806   0.298
   0.060   1.465   3.595
   0.043  -0.365   0.457
  -0.725   0.364  -2.306
   0.211   2.159  -0.781
   0.004  -1.433   0.547
   1.318   0.360   0.389
   0.098  -1.998   1.081
   0.578   0.731   1.222
  -0.205   1.984  -0.609
   0.715   0.711  -0.535
   0.022  -0.891  -0.674
   0.125  -0.538   3.025
  -0.216  -0.361  -0.150
   0.121  -1.455   1.342
   0.056   1.815   1.178
   1.007   4.570   0.874
   0.444   4.370   1.584
   0.139   2.918   1.137
  -0.155  -4.911  -1.637
  -0.179  -1.351  -1.957
  -0.301   3.673  -0.588
   0.227   3.859   4.182
   0.673  -2.233  -2.213
   0.065   0.963   0.072
   0.101  -0.320  -1.308
   0.067   0.639   1.883
   0.116  -0.960   1.566
  -0.292   2.539   3.060
   0.324   0.469   0.547
   0.405  -0.156   3.481
  -0.611   1.242  -1.059
  -0.150  -2.817   0.331
  -0.089  -1.923  -1.066
   0.073   1.127  -0.336
   0.631  -0.160  -0.134
   0.862  -0.643   3.829
  -0.154   3.175   1.859
   0.109   1.858   1.389
   0.173  -3.115   0.999
   0.226   0.945   1.724
  -0.087  -1.262   1.575
   0.117   4.044   0.000
   1.086   5.919   3.193
   0.011  -2.031   2.301
  -0.081  -2.374  -1.145
   0.736   3.250   2.725
  -0.076   0.291  -0.337
   0.153  -0.290  -2.273
   0.002   1.729   0.459
   0.225   2.817  -0.516
   0.416   0.554  -0.288
   0.085   0.413   0.460
  -0.212  -0.138   1.707
  -1.431  -3.077   0.000
  -0.075   1.270   0.562
   0.855  -1.270   2.330
   0.939   7.917   2.169
   0.004  -1.588  -0.215
  -0.004  -0.267   1.069
  -0.939  -1.890  -1.393
  -0.013  -4.743  -4.750
   1.858   0.000   1.572
   0.017   2.678   2.203
  -0.184   0.416   1.513
   0.579   1.102  -0.646
  -0.009  -1.937  -2.959
  -0.453  -0.561   0.665
  -0.146   1.947   0.606
  -0.832   0.823  -0.938
   0.555   1.357  -1.059
   0.969   3.705  -0.505
   0.078  -0.391   1.342
   0.121   1.038   2.306
   0.503   0.899   0.865
   0.994   1.523   6.157
  -0.044   1.003   5.129
  -0.184  -2.270  -2.089
   1.295   3.262   2.664
  -0.247   2.439   0.381
  -1.020  -1.824  -0.957
  -0.313  -1.359  -3.722
   0.423  -1.756   0.795
  -0.158   3.483   1.083
   0.162  -1.106  -0.787
   0.429  -0.372   0.000
   0.031   3.355   0.689
   1.222   2.196   2.613
   0.429   3.687   4.208
   0.147  -0.681   2.910
  -0.433  -1.839  -1.999
   1.095   2.180   4.784
   0.020   3.458   1.885
  -0.198   1.523   2.515
   0.504  -0.433   1.234
  -0.760  -3.533  -4.259
  -1.348  -7.221 -11.566
   0.464  -0.849  -1.156
   0.014   3.706  -2.452
   0.542   3.687   6.627
   0.800   2.459   2.569
   0.091   1.968  -1.276
   0.641   1.504   0.913
  -0.406  -4.469  -2.332
  -0.155  -0.559  -3.217
  -0.432  -1.810  -2.729
  -0.150  -2.778  -2.806
  -0.009  -1.896   1.011
   0.034   3.757  -0.201
   0.195   2.503   2.390
   0.064   0.000   1.950
  -0.121   2.551   2.102
  -0.405   2.060  -2.877
  -0.421   0.428   2.876
   0.831   0.639   0.377
  -0.209  -0.212  -1.327
   0.250   5.586   1.890
  -0.166  -2.033  -1.699
   0.030   8.249  -1.150
  -0.197  -4.421  -7.396
   0.252   4.256   3.266
  -0.426   0.378   0.201
   0.057   0.376  -2.178
   0.472  -3.636  -1.081
  -0.188  -2.367  -2.942
   0.170   0.398   0.425
   0.164   2.163   2.516
   0.171   2.117   1.642
   0.348  -0.382  -0.818
   0.941   4.121   4.516
   0.176   1.998  -1.883
   0.021   1.073   3.922
   0.418   0.178   0.957
   0.215   1.935   0.000
   0.452  -0.524  -1.150
   0.391   0.175   0.000
   0.833   0.870  -1.847
  -0.045  -4.068  -2.484
  -0.099  -1.272   1.200
   0.245   5.339  -0.298
   0.439   0.000   0.000
  -0.645  -2.102  -2.499
  -0.218   0.706  -1.054
   0.014  -1.505  -0.829
  -0.069  -0.626  -0.522
  -0.064  -2.362  -0.630
   0.828   4.141   4.229
  -0.250  -2.682  -2.661
  -0.461  -4.445  -1.885
   0.107   2.985   1.156
  -0.150  -1.949  -1.899
   0.199   4.490   3.659
  -0.024  -3.929   1.831
  -0.710  -3.993  -3.071
  -0.147   0.869   2.464
   0.335   4.879   2.008
   0.626   4.038   1.382
   0.240  -0.795  -1.581
  -0.252  -1.789   0.596
   0.641   5.615   3.693
   0.112   3.356   3.377
   0.545   1.961   0.368
  -0.542  -1.139  -1.295
  -0.409  -1.318   0.557
   0.256   0.000   0.554
  -0.700  -1.336  -2.047
  -0.992   0.419  -0.094
   0.515   2.234   2.141
   0.611   4.324   2.782
  -0.300  -2.862   0.179
   0.467   3.487   1.333
   0.937   1.238   2.871
   0.144   3.625  -0.516
  -0.358  -0.670  -2.356
  -0.364  -0.374  -6.472
   0.915   0.747  -0.661
   0.262   3.077   4.540
  -0.091   1.433  -1.093
  -0.071  -2.886  -1.662
  -0.509  -5.260  -3.025
   0.789  -1.399  -0.578
   0.567   2.014  -2.939
   0.456  -1.857  -0.199
  -0.538  -0.942  -1.001
   0.566  -0.474   1.398
  -0.307  -4.043  -1.802
   0.262   3.884   1.802
   0.225  -0.957  -4.879
   0.849   7.411   6.062
   0.196   1.477  -1.183
  -0.374  -1.329  -3.431
   0.266  -2.558   0.205
   1.098   3.886   1.222
   0.650  -3.735  -0.609
   0.404  -2.856  -0.510
  -0.649  -0.550   0.713
   0.212   0.628   2.806
   0.330   0.000   0.394
  -0.119  -3.018  -1.989
   0.469  -0.485   0.600
  -0.770  -5.669  -4.282
  -0.094   1.532  -2.960
  -1.558  -4.315  -1.732
   0.840   9.899   5.315
  -0.984  -5.584  -1.250
   0.748   1.841  -0.210
   0.239   1.644  -0.844
   0.383   0.974   0.634
   0.037  -0.811  -0.846
  -0.067  -1.808  -3.017
   0.294  -1.000  -0.658
   0.776   2.318   3.251
   0.095  -4.007  -1.504
  -0.584  -3.820  -0.434
  -0.159   1.231   0.000
   0.282  -0.967   0.217
  -1.468  -7.990  -4.662
  -1.816   2.081  -1.604
   0.701   5.643   4.956
  -0.146   0.000  -0.441
  -0.331  -4.897  -5.911
   1.427   1.842   4.354
  -0.341   1.809 -10.636
   0.308   1.600   1.731
   0.588   6.652   0.732
   0.256   2.687   1.210
  -0.099   0.080   1.313
   1.163   3.625   3.840
  -0.474  -1.875  -0.228
   0.741   2.338   0.684
   0.417   0.000  -1.028
   0.946   1.377  -0.502
   0.927   1.209   2.029
   0.383   2.959   1.822
  -0.410  -1.469   0.885
   0.874   3.774   3.037
   0.761   1.974   1.695
   0.555  -0.912  -2.123
   0.940   0.211  -0.646
   0.046   2.637   0.216
   0.771  -1.379   0.403
  -0.142   0.278  -1.923
  -0.749  -1.958   1.520
  -0.652   0.493  -0.866
  -0.514   0.070   0.109
  -1.138   2.497   0.542
   1.156   3.368   2.137
   1.647   4.658   3.122
   0.033   0.378  -0.307
  -1.317   0.753  -0.722
  -0.496  -2.532  -0.207
  -0.385  -2.072   0.827
  -0.672  -0.525  -3.241
   0.613  -4.302  -4.789
   0.994  -3.069  -2.141
   0.762   6.313   0.907
  -0.580  -2.151  -3.913
   0.253  -1.093  -0.235
  -3.131  -3.353   0.704
   1.024   4.173   3.219
  -0.459  -1.096  -0.681
   0.229   1.639   2.252
   0.363  -0.408   0.000
   0.087   3.344   4.784
   1.734   2.340   1.056
  -0.147  -0.257  -1.269
  -0.263  -5.293  -5.691
  -0.122  -2.755   0.674
   0.220   0.000   0.446
  -0.089  -3.409  -2.224
   0.450  -0.726   2.224
  -0.624   4.553   0.887
   0.005   2.609  -0.443
  -0.532   0.541   0.883
   1.267   1.869   0.439
   0.234   1.314  -0.439
   0.095   2.067   1.310
  -0.003  -0.770   2.781
  -1.788  -4.480   2.294
  -0.319  -1.357   2.041
  -1.362   1.087  -0.202
  -0.367   2.930  -2.149
   0.872  -4.017  -1.353
   0.904  -3.192   1.560
   0.390   4.009   6.879
  -0.527  -0.543  -1.066
   0.311   0.544   2.405
   0.227   3.462  -0.763
   0.436  -1.849   3.759
   0.568   3.665   0.529
  -0.217   5.623   3.095
   0.414  -0.366  -0.894
   0.090   2.171  -0.540
   0.107  -0.719  -1.579
   0.001  -0.240  -0.552
   0.063   0.720   0.185
  -1.726  -3.903   0.184
  -0.272   0.743   1.006
  -0.128   1.470   0.091
  -0.399   1.689  -1.281
   1.015   0.952   1.281
   0.104   0.000  -0.182
   1.025   4.177   0.726
   1.434  -0.227   3.727
   0.616   2.252   1.556
  -0.027  -1.345  -0.688
  -0.086   0.899  -0.693
   0.609   0.224  -1.048
   0.632   0.445  -0.176
  -0.058  -2.020  -1.062
   0.838   1.128  -0.535
  -0.357   2.655   1.421
   0.371  -0.438   0.176
  -0.930  -1.994   2.091
  -0.642  -2.262  -1.564
   0.563  -0.459   0.175
  -0.385   0.688   5.443
  -0.215   1.810   1.479
   0.728   0.000  -0.409
   0.871   2.436   0.734
  -0.801  -2.661  -2.137
   0.042   0.448   0.000
  -0.171   0.224  -1.506
  -0.177   1.660   1.507
  -0.288  -0.110   1.973
  -0.168  -1.774  -2.306
  -0.310  -1.125  -2.703
  -0.104  -1.597  -1.379
  -0.467  -2.798  -2.283
  -0.015   0.942   1.411
   0.021  -1.892  -0.351
   0.713   4.663   0.350
   0.301  -1.608   3.082
  -0.055   0.692  -1.003
  -0.614  -1.856  -0.516
   0.624   2.771   1.879
   0.311   3.139  -0.594
   0.780   3.044   2.272
  -0.336   0.640  -0.500
  -0.180  -2.368   0.167
  -2.250  -2.426  -3.742
  -0.748   1.551   1.206
   0.338   1.093   0.513
   0.200   0.650  -0.683
  -1.596  -5.551  -4.742
   0.080   1.136   2.487
  -2.569  -6.530  -3.027
  -0.227  -0.241   1.258
   0.903   3.326   2.294
   1.486   0.699   1.215
  -0.753  -4.024   0.344
  -0.780  -2.198  -0.689
  -1.095  -7.165  -3.880
  -0.035   4.156  -0.722
   0.719   0.634   4.429
   0.747   3.844   2.903
  -0.788  -2.712  -1.869
   0.687   2.225   2.105
   0.736   1.215   1.003
   1.561   3.792   2.465
   1.900   3.877   2.248
  -0.342  -0.561  -0.797
   0.325   2.992   2.215
   0.268   0.218   3.063
  -0.237   2.156  -1.973
  -0.074  -0.427   1.992
   0.553   0.214  -0.303
  -0.840  -2.817  -2.309
   0.280  -0.441   1.852
   0.035   1.968   0.000
   0.441  -3.077  -0.921
   0.206   0.000  -0.309
  -0.134  -1.802  -1.560
  -0.093   2.248   0.939
   0.840   2.415   3.370
  -0.546  -1.311  -1.671
  -0.473  -3.125  -0.460
   0.379   0.000   0.308
  -0.239  -1.140  -0.307
  -1.121  -0.921   0.154
  -0.826  -2.342  -1.939
   0.418   1.878   2.246
   0.136   1.156   0.763
  -0.946  -4.707  -1.996
   0.956   2.851   0.772
   1.225   1.857   2.731
   0.007   0.000   0.968
   0.521   0.000   0.812
   0.575   3.279   0.440
   1.392   4.885   3.170
   0.504   1.263   0.565
  -0.152  -0.209   6.154
  -0.215   0.418   1.448
   0.224   0.209   1.428
   0.587   1.242   0.386
  -0.079  -0.103  -1.683
  -0.127  -0.309   0.780
   0.032   4.346   0.774
   0.004   0.297   0.129
   0.048  -0.594  -0.514
   0.166  -1.499  -1.495
   0.254   0.101   0.326
   0.713   2.778   3.338
  -0.177   1.167   0.504
   1.245   3.609   2.174
   0.273  -1.504   2.968
  -0.390  -2.688  -3.028
  -0.558   0.195  -0.741
  -0.306   0.966  -0.996
   0.867   1.147   5.361
   0.410  -0.763   2.113
  -0.138   0.953   3.200
   0.262  -0.762   1.341
   0.366  -1.931  -1.679
   0.540  -1.177  -0.679
  -0.137  -4.334  -2.066
  -0.463   0.923  -2.110
   0.099   2.618   3.607
  -0.707  -4.681  -1.729
  -0.195  -1.258  -1.997
  -0.524  -2.348   0.591
   0.606  -0.433  -1.545
  -0.086   0.864   2.296
   0.622   6.252   2.885
  -0.213  -2.661  -1.029
   0.420   0.620   1.483
   1.043   1.839   3.231
   1.453  -0.813   4.187
   0.421   5.170   2.697
   0.435   0.387   0.102
   0.144   2.667   1.320
  -0.316  -2.282  -2.348
   0.215   1.716  -1.248
   0.648  -1.332   0.314
   0.236  -0.769  -3.394
  -0.081  -2.147  -0.432
   0.695   2.532   4.554
   0.241   2.282   0.104
  -0.161  -0.755  -1.669
   0.802   2.432   3.003
   1.102  -0.371  -0.819
  -0.141  -0.186   1.835
  -0.127   1.109   2.296
   0.267  -0.184   0.197
  -0.061   1.099   0.197
  -1.100  -4.661  -0.988
  -0.426  -3.495   2.839
  -0.097   1.763  -0.970
  -0.644   0.966  -2.018
   1.364   4.144   3.470
  -0.297  -0.556  -0.771
  -0.915   0.924   5.829
  -1.555  -3.365   0.000
  -0.091  -1.533  -3.343
  -1.057  -2.147  -3.949
   0.699  -0.991   2.138
   0.755   1.972   4.328
   1.925   1.551   1.281
   0.416   0.000  -2.113
  -0.261  -0.967  -1.780
   0.549   0.966   2.427
   0.636   2.469   0.827
   0.128  -1.512  -0.919
  -0.389  -1.150  -1.582
  -1.754  -1.946  -1.750
  -0.505  -1.186  -0.431
   1.484   4.281   5.955
  -0.051   2.817   0.360
   0.744   1.105   3.189
  -0.642  -2.974  -0.788
   0.857   1.126   0.526
   0.614   2.396   1.044
   0.001   0.726   1.631
   1.224   4.248   0.170
  -0.216  -2.456  -3.545
   0.332   0.000   0.264
   0.831   3.147   1.178
   0.068   2.884   0.821
   0.772   0.167   1.917
   0.447  -1.599   2.707
  -1.109  -2.664  -0.247
  -0.910  -4.453  -0.827
  -0.716  -0.365  -0.249
   0.000   0.728   0.581
   0.973  -4.264   2.486
   1.499   2.248   3.414
   0.253   3.279   1.318
   0.072  -2.174   0.997
   0.321  -1.662   0.533
  -1.401  -6.740  -4.659
   0.240   1.777  -2.658
   1.199  -1.181   2.100
  -0.524  -8.468  -3.003
   0.528   4.323   0.000
   1.655   6.493   3.242
   1.121  -3.243   0.159
  -0.412   0.100  -1.605
   0.961   1.780   0.081
  -0.467   1.750  -0.486
  -1.200  -2.933  -2.634
  -0.128  -7.624  -2.363
   1.056   1.065   1.777
   0.216  -4.329  -0.084
  -0.785   2.835  -1.779
  -1.326  -5.413  -4.557
  -0.536   1.017   1.520
   0.566  -2.503   2.780
  -0.550   2.727   0.342
   1.386   1.998   2.113
  -0.429  -4.036  -2.798
   0.799  -6.134  -1.298
   1.073   3.819   0.867
  -0.284  -1.178  -0.606
  -0.876  -3.620  -0.785
  -1.845   2.187  -1.057
   0.456  -2.803  -2.418
   0.320  -2.884  -1.094
  -0.763   2.513   0.275
  -0.494  -0.747  -2.499
  -0.398   2.225  -0.094
   0.185  -3.736  -2.086
   0.862  -4.411   0.096
  -0.230   1.579   1.990
   0.181   8.983   5.387
  -2.125  -2.660  -1.073
  -2.189  -5.802   0.000
   0.332   0.518   0.135
  -1.262  -1.826  -1.674
   0.028   1.825   2.612
   1.005   5.039   3.064
   0.557   6.768   0.086
   0.522   1.707   1.018
  -0.723  -2.399  -3.018
  -0.298  -2.695  -3.578
  -2.766  -2.648  -5.043
   0.821   3.828   2.460
   1.467  -6.048  -2.077
   1.161  -5.379   2.264
  -0.231   4.125   2.941
   0.598  -2.299  -0.636
  -0.782  -2.220   0.908
   1.855   0.395   1.968
  -0.125   2.340   3.568
  -0.319  -0.645  -0.085
  -0.756  -4.093  -1.552
   0.987   0.270   1.723
   2.692   7.257   2.480
   0.914   3.440   2.062
  -0.351   3.092   0.407
   1.792   7.009   2.489
   2.108   2.798   3.046
  -0.305  -1.929  -2.808
  -1.477   1.717  -1.354
   0.567   4.371   1.827
   0.549   0.406   0.471
   1.550   2.108  -0.235
  -0.542  -0.898  -4.335
   0.349  -0.603   0.327
   0.696   1.203   3.376
  -1.451  -2.012  -1.915
   0.423  -0.919  -0.242
   1.002   5.488   3.960
  -0.275   2.114   0.928
  -0.441  -0.381  -0.694
   1.351   2.823   1.117
   0.316   2.020   3.684
  -0.295   0.454  -1.300
  -0.370  -3.405  -2.030
   0.496   1.487  -7.785
  -0.227   0.092  -1.162
  -0.104  -4.621  -3.223
  -0.637  -1.068  -1.739
   0.394   1.067   0.449
   1.714   0.290   1.978
   0.569   2.378   2.202
   0.273  -2.282  -2.760
   0.496  -2.040   1.580
   1.585   0.147  -2.641
   1.104   4.456   0.758
   0.070   1.303   1.712
   0.059   1.743   1.641
  -0.598  -2.578  -2.110
   0.995   2.941  -0.085
   0.079   0.542   0.213
  -2.260   0.629  -1.071
   1.997   1.245   1.918
  -0.823  -2.779  -0.891
  -0.599  -1.650  -2.066
   0.409  -1.678  -1.005
  -0.244   0.936  -0.308
   0.663   1.754  -1.958
   1.448   3.241   2.792
   1.416   1.407   1.346
  -0.516   3.180   1.668
   0.715   1.094   1.515
  -1.228   2.153   1.985
   0.685   0.000  -1.652
   0.317  -1.071   2.426
   0.185   1.397   2.369
   0.800   1.820   2.701
   1.163   1.708   8.829
  -0.533  -0.791  -0.638
  -1.766  -2.942  -1.578
  -0.258   0.449  -0.872
   2.278   2.890   3.512
   0.276   1.726   0.632
   0.396  -0.624   0.489
  -0.159  -0.235  -0.629
  -0.250  -2.945  -0.703
   0.622   2.394  -0.495
   1.056   0.315   1.442
   0.212   0.079   2.690
  -0.754   0.314   1.955
   0.333   2.246   3.283
   0.218   0.382   2.991
   0.831  -1.925   0.375
  -0.955  -1.963   0.994
  -1.873  -2.164  -3.269
   0.370  -2.212  -1.740
  -1.124  -1.587  -0.849
  -0.488   1.171   1.109
   0.298   2.465  -0.520
  -2.625  -2.966  -3.990
   1.288   1.741   2.612
   1.471  -0.412   3.475
   1.430   3.406   2.615
  -1.534  -1.203  -2.137
  -0.163  -0.892  -2.249
  -0.367   1.856  -2.101
  -0.779  -0.802  -1.606
   0.074  -0.566   1.472
  -1.104  -2.794  -1.810
  -0.466   0.499  -0.271
   3.077   2.458   3.139
   0.029   0.725  -1.324
   0.325  -0.483   0.862
  -0.196   1.124  -0.066
   0.231  -3.162   1.444
   0.260   0.165   1.871
  -1.575  -4.714  -2.329
  -0.703  -0.432  -0.262
   1.233   0.087  -1.056
  -0.449  -3.521  -2.348
   2.774   6.588   3.992
  -0.280  -0.337  -0.163
   0.454  -0.253  -0.557
   0.339  -1.103   0.328
   0.516   2.611   0.977
  -0.367   1.075   2.813
  -0.786  -1.909  -3.595
  -0.698  -2.289  -2.649
   0.776   1.024  -0.067
   0.855   0.677   2.455
  -0.638  -1.443  -3.264
   0.855  -0.343   1.011
   0.527   4.367  -0.134
   0.475   3.155   0.201
   0.791   1.345   0.201
   1.067   2.636   1.855
  -0.948  -1.077  -0.725
  -0.331   1.306   0.132
  -0.376  -0.535  -1.798
   0.116   0.383  -0.471
   0.225  -0.999  -0.813
  -0.471   2.667  -5.744
  -1.090  -1.744  -1.526
  -1.168  -2.088  -2.821
   1.205   1.781   1.272
   1.729   3.469   1.256
  -0.391  -0.446  -1.405
  -1.855  -2.947  -2.488
  -0.956  -1.546  -2.317
  -7.114  -9.640  -6.787
   4.990   9.328  12.850
  -0.292   0.623  -5.713
  -1.698  -0.701  -5.770
   1.203   2.585   1.637
   2.630   3.260   1.929
   0.188  -1.561  -3.318
   0.212   2.369  -1.743
  -0.503  -0.882  -1.519
  -1.128  -1.337   5.218
  -0.690  -2.116  -3.031
   0.287  -1.462   1.487
  -1.948  -5.252  -1.736
   1.174   0.549   3.925
   1.267   5.628   1.038
   1.905   2.053   2.120
  -0.846  -0.907  -2.120
   0.676   1.020   0.396
   1.512   2.779   2.266
   0.428  -0.440  -0.776
  -1.720  -2.228  -2.684
   0.437   1.268  -2.184
   0.086   0.886   0.245
   0.394   1.386   1.297
   2.007   4.741   4.871
  -0.318  -4.452  -4.310
   0.522   0.469   0.558
  -0.376  -0.613  -2.336
   1.093   3.414   1.135
  -0.144   0.419   1.122
  -0.673  -2.611  -3.652
  -0.616  -2.387  -1.248
  -1.543  -3.199  -3.925
  -0.162  -7.696  -1.845
   1.043   1.217   2.279
   0.482   3.331  -1.309
  -0.259   1.433  -2.400
  -1.066  -1.160  -0.541
  -0.896  -0.233   1.258
   0.728   2.198   2.033
  -1.541  -6.134  -1.765
  -0.686   0.364   0.089
   0.402   3.103   0.886
   1.789   5.153  -0.088
   1.817   0.668   1.228
  -0.042  -1.115  -2.025
   0.470   4.064   3.325
   0.212  -0.215   2.549
  -1.079  -1.302  -1.863
  -0.267  -2.995  -0.514
  -0.829   1.120   2.125
  -3.010  -3.398  -3.335
   1.234   2.615   5.085
   1.365   0.559   1.721
   0.609   1.770  -1.969
  -0.756   0.765  -0.166
   1.128   0.759  -0.666
   1.762   2.769   1.903
  -0.802  -0.210   0.572
  -0.800  -2.775  -0.244
  -0.569  -0.108   0.895
  -0.066  -1.859   0.646
   1.253   4.532   1.913
   0.867   4.335   2.146
   0.818   2.985   1.381
  -0.530  -1.084  -1.228
   2.119   1.378   2.514
   0.470  -1.477   3.838
   0.090   2.450   1.438
  -0.334  -0.290  -1.220
   0.885   2.398   1.203
  -0.170  -2.982  -2.001
   0.815   1.165   0.509
   0.098   0.193  -1.387
   0.404   0.576  -0.073
  -0.396  -0.577  -1.407
   0.261   0.096   1.039
   0.905   0.862   2.622
  -0.367  -0.095   4.085
   0.575   0.571   1.371
   0.379  -0.285   2.554
  -0.733  -1.342  -1.943
   1.190   3.042   1.744
   0.552  -0.376  -1.811
   0.064  -0.944  -2.885
  -0.156  -0.954  -2.327
   0.411  -1.156  -2.674
  -0.447   1.156   1.310
  -1.180  -5.412 -13.446
   1.975   4.062   3.335
  -0.321  -5.027  -3.999
   1.128   0.255   0.581
   0.396   2.017   0.496
   0.136   2.074   0.657
  -0.124   0.973   0.326
   0.994  -0.290   1.377
   0.109   0.291  -1.214
   0.468  -1.561   0.325
   0.388   1.173   0.405
   0.861  -1.075  -2.042
  -0.329   1.753  -0.912
   0.918   4.622  -0.836
  -0.338   2.548   2.406
  -0.102  -0.270   2.509
  -0.488   0.090   0.875
  -0.173  -2.922  -1.920
   0.747   1.380   0.885
   0.579   1.362  -0.724
   1.065   1.344  -1.463
   0.240   0.621   0.490
  -0.117  -2.416  -3.818
  -1.061   0.000  -1.706
  -0.715  -1.093  -0.086
   0.815  -1.849   1.624
  -0.088  -0.749   3.334
   0.545   1.770  -0.329
   0.319   4.337  -1.491
  -1.001  -0.710  -0.670
   1.304   0.355   1.086
   0.083   2.540   1.731
   0.239   2.224   3.136
   0.324  -0.339   6.290
  -0.926  -2.667  -0.972
  -1.049   0.348  -1.436
  -1.947  -2.107  -2.545
  -0.132   0.619  -0.863
   0.873   1.575   1.056
   1.555   1.721   0.854
   0.827   0.511   1.611
   0.095   1.767  -0.152
  -0.574  -1.767  -0.152
  -0.966   3.175  -0.613
  -0.889  -0.825  -0.462
   1.180   0.497   3.711
  -0.135  -1.329  -1.876
   0.823   2.151   2.469
   0.275  -0.492   0.296
  -0.133   0.082  -0.295
  -0.776   0.410  -5.157
  -0.263   1.784  -1.174
   0.334   3.340   0.236
   0.856  -2.220  -3.274
  -0.396  -1.119  -3.805
  -0.375  -1.131   0.253
  -1.492  -1.145   0.504
  -0.164   2.357  -0.503
   0.489  -0.403  -1.099
  -0.619  -2.449  -2.846
   0.015  -2.765  -4.932
   0.188   3.834   1.821
  -0.947  -2.400  -4.901
   1.111   2.970   3.355
   1.723   0.729   2.355
   0.167   0.081  -0.719
   0.241   2.548   1.254
  -0.550  -0.473  -2.342
  -1.604  -0.079   0.000
   0.388   0.079  -0.182
  -2.007  -1.112  -2.309
   0.978   2.134   4.299
   1.778   0.934  -0.809
  -0.066   1.766   0.630
  -0.518   1.211   0.447
   0.233   1.789   5.388
   1.464   2.624   1.844
   1.189   1.073   2.785
  -0.318  -0.858  -2.288
   0.346   3.179   0.987
   0.466   2.133  -0.739
  -0.409   0.272  -2.251
   1.290   2.680   1.423
  -0.186  -2.070  -2.611
   0.945   0.404   0.319
  -0.229  -0.269   2.208
   1.009   1.604   4.155
  -0.672  -1.403   1.819
   0.497   0.000   0.000
   0.074   1.402   3.239
   1.058   0.661  -2.070
  -0.235   0.722   4.320
   0.781   0.196   0.000
   0.230   4.093  -1.344
  -0.224   3.388  -1.668
  -1.620  -4.206  -0.153
  -0.085  -0.443   0.915
  -2.112   0.633   0.228
   0.092  -1.397   0.604
   0.565  -0.256   3.548
  -1.496  -1.550  -0.509
  -0.446  -2.105  -1.175
   1.556   4.676   3.484
  -1.961  -2.832  -3.706
  -0.737   0.780   0.443
  -3.692  -3.560  -3.449
   0.865   3.819   2.670
   0.755   2.677   3.361
  -0.017  -2.548  -0.360
  -0.581   2.359  -0.072
  -1.316  -1.204  -2.410
   1.416   0.572   1.248
  -0.862  -1.920  -0.439
  -1.138  -0.259   1.094
   1.949   1.735   3.841
   1.605   2.080   2.072
  -0.286   1.055  -2.072
  -0.590   1.349  -4.059
  -0.959   0.122  -1.243
   0.642   0.243  -0.369
   0.433   0.906  -0.240
  -0.796  -0.301  -1.698
  -3.913  -4.440  -3.995
  -1.493  -4.580  -3.509
  -7.018 -14.538  -7.849
   3.762   9.462   6.541
  -0.379   1.790  -1.491
  -0.833  -1.097   2.473
  -0.856  -1.529   1.935
   4.965   5.848   4.567
  -1.701  -4.112  -0.804
  -2.619  -2.650  -2.729
   2.903   4.761   7.168
